"","id","country","name","lon","lat","temp","feels_like","temp_min","temp_max","pressure","humidity","speed","all","visibility"
"1",350789,"EG","Qalyub",31.21,30.18,20,19.06,20,20,1017,68,3.1,40,6000
"2",355795,"EG","Halwan",31.3,29.84,20,19.06,20,20,1017,68,3.1,40,6000
"3",356933,"EG","Farshut",32.16,26.05,18.79,15.19,18.79,18.79,1015,50,4.53,0,13000
"6",358095,"EG","Diyarb Najm",31.44,30.75,20,19.06,20,20,1017,68,3.1,40,6000
"7",358108,"EG","Disuq",30.65,31.13,14.09,13.61,14.09,14.09,1016,93,2.01,0,16000
"8",358115,"EG","Dishna",32.48,26.12,18.49,15.39,18.49,18.49,1015,51,3.82,0,13000
"9",358172,"EG","Dikirnis",31.59,31.09,13.89,12.86,13.89,13.89,1015,93,2.7,0,14000
"10",358269,"EG","Dayrut",30.81,27.56,19.49,16.88,19.49,19.49,1016,57,4.09,0,16000
"12",358970,"EG","Basyun",30.81,30.94,13.99,13.35,13.99,13.99,1015,94,2.27,0,16000
"14",359280,"EG","Banha",31.18,30.46,20,19.06,20,20,1017,68,3.1,40,6000
"15",359576,"EG","Awsim",31.14,30.12,20,19.06,20,20,1017,68,3.1,40,6000
"16",359710,"EG","At Tall al Kabir",31.79,30.54,20,19.06,20,20,1017,68,3.1,40,6000
"18",360542,"EG","Al Qurayn",31.74,30.62,20,19.06,20,20,1017,68,3.1,40,6000
"19",361495,"EG","Al Ayyat",31.26,29.62,20,19.06,20,20,1017,68,3.1,40,6000
"21",464176,"RU","Zavety Il’icha",37.85,56.05,-2.84,-10.11,-4,0,1001,100,7,90,650
"22",464737,"RU","Zaponor’ye",38.86,55.64,0,-9.37,0,0,998,81,10,75,8000
"23",473537,"RU","Vinogradovo",38.55,55.42,-1.55,-11.02,-3.89,0,998,85,10,75,8000
"26",481725,"RU","Tret’ya Rota",39.68,43.74,9.92,7.56,7.78,11,1015,93,3,90,1700
"27",494806,"RU","Sheremetyevskiy",37.49,55.98,-2.52,-9.75,-4,0,1001,100,7,90,650
"29",523523,"RU","Nalchik",43.62,43.5,11.88,9.73,11.67,12,1010,71,2,90,10000
"30",524894,"RU","Moskva",37.61,55.76,-2.45,-9.67,-4,0,1001,100,7,90,650
"31",529334,"RU","Mar’ina Roshcha",37.61,55.8,-2.46,-9.68,-4,0,1001,100,7,90,650
"34",569143,"RU","Cherkizovo",37.73,55.8,-2.43,-9.64,-4,0,1001,100,7,90,650
"35",802899,"RU","Mutaykutan",47.66,42.82,12.91,10.05,12.78,13,1008,66,3,100,10000
"36",803611,"RU","Yurevichi",39.93,43.6,9.93,7.57,7.78,11,1015,93,3,90,1700
